"Bulk Edit Items"
"Pos","Item Code","Customer's Item Code","Parent Item","Item Name","Item Technical Name","Description","Item Group","Brand","Image","Quantity","Stock UOM","Parent Item Group","UOM","UOM Conversion Factor","Qty as per Stock UOM","Price List Rate","Price List Rate (Company Currency)","Margin Type","Margin Rate or Amount","Rate With Margin","Discount (%) on Price List Rate with Margin","Discount Amount","Rate With Margin (Company Currency)","Rate","Net Rate","Amount","Net Amount","Item Tax Template","Rate (Company Currency)","Net Rate (Company Currency)","Amount (Company Currency)","Net Amount (Company Currency)","Pricing Rules","Rate of Stock UOM","Is Free Item","Is Alternative","Has Alternative Item","Valuation Rate","Gross Profit","Weight Per Unit","Total Weight","Weight UOM","Warehouse","Against Blanket Order","Blanket Order","Blanket Order Rate","Against Doctype","Against Docname","Projected Qty","Actual Qty","Item Tax Rate","Additional Notes","Page Break"
"pos","item_code","customer_item_code","parent_item","item_name","item_technical_name","description","item_group","brand","image","qty","stock_uom","custom_parent_item_group","uom","conversion_factor","stock_qty","price_list_rate","base_price_list_rate","margin_type","margin_rate_or_amount","rate_with_margin","discount_percentage","discount_amount","base_rate_with_margin","rate","net_rate","amount","net_amount","item_tax_template","base_rate","base_net_rate","base_amount","base_net_amount","pricing_rules","stock_uom_rate","is_free_item","is_alternative","has_alternative_item","valuation_rate","gross_profit","weight_per_unit","total_weight","weight_uom","warehouse","against_blanket_order","blanket_order","blanket_order_rate","prevdoc_doctype","prevdoc_docname","projected_qty","actual_qty","item_tax_rate","additional_notes","page_break"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"The CSV format is case sensitive"
"Do not edit headers which are preset in the template"
"------"
10,"Ball points IG-M12 K25 - HV","","","Ball points IG-M12 K25 - HV","","Accessories specification:-Set (3 pcs) ball points, diameter 25 mm, internal thread M12","Ball Points","","",1,"PC","","PC",1,1,90,90,"","","","","","",90,90,90,90,"",90,90,90,90,"",90,"","","","","","","","","Stores - SGBCZ","","","","","","","","{}","",""
10.1,"Antivibration pads 100-800 kVA","","","Antivibration pads 100-800 kVA","","Accessories specification:- Set (4 pcs) of GT13 Antivibration pads TK = 1 - 3,2 t","Antivibration Pads","","",1,"PC","","PC",1,1,244,244,"","","","","","",244,244,244,244,"",244,244,244,244,"",244,"","","","","","","","","Stores - SGBCZ","","","","","","","","{}","",""
